127.0.0.1 - - [26/Jun/2022:13:18:20 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:08 +0700] "GET /ClothesShop/assets/user/img/https://cdn2.yame.vn/pimg/so-mi-co-lanh-tu-on-gian-m31-0020608/c230ee86-b2d1-5401-3f38-0018b768fe55.jpg?w=540&h=756 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:08 +0700] "GET /ClothesShop/assets/user/img/https://cdn2.yame.vn/pimg/so-mi-td-r-on-gian-solid-m16-0020172/eeee6684-6405-8d00-0262-0018cd8c8f91.jpg?w=540&h=756 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:08 +0700] "GET /ClothesShop/assets/user/img/https://cdn2.yame.vn/pimg/so-mi-nam-y2010-td-n01-0019778/e64c29e7-6bd7-0700-7f86-0018cf21213d.jpg?w=540&h=756 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:08 +0700] "GET /ClothesShop/assets/user/img/https://cdn2.yame.vn/pimg/so-mi-nam-y2010-td-m01-0019743/4904e49a-d823-0600-b389-0018cf2104a3.jpg?w=540&h=756 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:08 +0700] "GET /ClothesShop/assets/user/img/https://cdn2.yame.vn/pimg/so-mi-nam-y2010-tn-l01-0019742/879ed421-c7e6-0d00-712f-0018dfa3dc0b.jpg?w=540&h=756 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:08 +0700] "GET /ClothesShop/assets/user/img/https://cdn2.yame.vn/pimg/quan-dai-jean-slimfit-toi-gian-m7-0020891/5486951c-5807-9000-b8bf-00191a895eef.jpg?w=540&h=756 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:08 +0700] "GET /ClothesShop/assets/user/img/https://cdn2.yame.vn/pimg/quan-jean-slimfit-y2010-b39-0019662/9d62a384-cca6-1700-6fbf-0018f7d95778.jpg?w=540&h=756 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:08 +0700] "GET /ClothesShop/assets/user/img/https://cdn2.yame.vn/pimg/quan-jean-straight-van-hien-chi-bang-ver1-0020131/1690c0c7-e93c-3b00-942d-001883b60078.jpg?w=540&h=756 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:08 +0700] "GET /ClothesShop/assets/user/img/https://cdn2.yame.vn/pimg/quan-dai-jean-straight-on-gian-y-nguyen-ban-ver5-0020538/df272cc6-6f3b-2e00-23a9-0018ac6b3846.jpg?w=540&h=756 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:08 +0700] "GET /ClothesShop/assets/user/img/https://cdn2.yame.vn/pimg/quan-tay-y2010-hg10-0019773/93df77d3-2771-2200-ee72-0018b9fac4c5.jpg?w=540&h=756 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:08 +0700] "GET /ClothesShop/assets/user/img/https://cdn2.yame.vn/pimg/quan-tay-nam-no-style-dai-hg06-0019082/4ae31c56-180a-0700-8e40-00172db794ac.jpg?w=540&h=756 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:09 +0700] "GET /ClothesShop/chitietsanpham?id=3 HTTP/1.1" 200 5273
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:10 +0700] "POST /ClothesShop/themgiohang HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:10 +0700] "GET /ClothesShop/?status=Th%C3%AAm+gi%E1%BB%8F+h%C3%A0ng+th%C3%A0nh+c%C3%B4ng+%21 HTTP/1.1" 200 9806
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:10 +0700] "GET /ClothesShop/assets/user/img/paypal.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:15 +0700] "GET /ClothesShop/giohang?id_kh=10 HTTP/1.1" 200 5969
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:18 +0700] "GET /ClothesShop/giohang?id_kh=10 HTTP/1.1" 200 5969
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:23 +0700] "GET /ClothesShop/giohang?id_kh=10 HTTP/1.1" 200 5969
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:42 +0700] "GET /ClothesShop/giohang?id_kh=10 HTTP/1.1" 200 5969
0:0:0:0:0:0:0:1 - - [26/Jun/2022:13:22:45 +0700] "GET /ClothesShop/sanpham HTTP/1.1" 200 16201
